file_id,lyrics
1,"You know I don't believe in ghosts Or letting people close I'm good at letting go You kiss my lips until they're colder Think you're in control But I should let you know Well, the good guys don't always get the glory Can't you see the warning signs? I can make your life a living hell if I wanted to, wanted to Wish this was a love you never felt and you know it's true, know it's true Love me, love me Trust me with that heart of yours Feels so heavy Lying on the bedroom floor I can make your life a living hell if I wanted to, wanted to Chew you up and spit you out And still you come around So, I can watch you drown Hate when you tell me that you'll wait Like you think that I could change When I've always been this way Well, the good guys don't always get the glory Can't you see the warning signs? I can make your life a living hell if I wanted to, wanted to Wish this was a love you never felt and you know it's true, know it's true Love me, love me Trust me with that heart of yours Feels so heavy Lying on the bedroom floor I can make your life a living hell if I wanted to, wanted to I'm haunted by the words you say When I can't say that I feel the same Admit you'll always be alone And baby you should know I'm only gonna ghost I can make your life a living hell if I wanted to, wanted to Wish this was a love you never felt and you know it's true, know it's true (and you know it's true) Love me, love me Trust me with that heart of yours Feels so heavy Lying on the bedroom floor I can make your life a living hell if I wanted to, wanted to (if I wanted to)"
2,"When I'm away from you I'm happier than ever Wish I could explain it better I wish it wasn't true Give me a day or two To think of something clever To write myself a letter To tell me what to do, mm-mm Do you read my interviews? Or do you skip my avenue? (My avenue) When you (when you) said you were passing through Was I even on your way? I knew when I asked you to (when I asked you to) Be cool about what I was telling you You'd do the opposite of what you said you'd do (what you said you'd do) And I'd end up more afraid Don't say it isn't fair You clearly weren't aware that you made me miserable So if you really wanna know When I'm away from you (when I'm away from you) I'm happier than ever (happier than ever) Wish I could explain it better (wish I could explain it better) I wish it wasn't true (wish it wasn't true), mm-hm You call me again, drunk in your Benz Driving home under the influence You scared me to death, but I'm wasting my breath 'Cause you only listen to your fucking friends I don't relate to you I don't relate to you, no 'Cause I'd never treat me this shitty You made me hate this city And I don't talk shit about you on the internet Never told anyone anything bad 'Cause that shit's embarrassing, you were my everything And all that you did was make me fucking sad So don't waste the time I don't have And don't try to make me feel bad I could talk about every time that you showed up on time But I'd have an empty line 'cause you never did Never paid any mind to my mother or friends So I shut 'em all out for you 'cause I was a kid You ruined everything good Always said you were misunderstood Made all my moments your own Just fucking leave me alone, whoa, yeah"
3,"See it in my face That's the me I can't escape Mm, I've gotta change my ways Ooh, crying to the sky but nobody come down Promises in webs of lies Led me to my own demise Built my house so misaligned Watch it burn from the inside Breathing in the fire one too many lifetimes Say we're on our way To some better days Know we're swimming in deep denial Say I'll come around As you figure out I'm too far to bounce back in time See it in my face That's the me I can't escape Mm, I've gotta change my ways Ooh, crying to the sky but nobody come down Cry, cry, crying to the sky but nobody come down Cry, cry, crying to the sky but nobody come down Fell so far from paradise Walking wires from up so high No, we don't see eye to eye Got us taken by surprise Walkin' side by side right into the high tide Say we're on our way To some better days Know we're swimming in deep denial Say I'll come around As you figure out I'm too far to bounce back in time See it in my face That's the me I can't escape Mm, I've gotta change my ways Ooh, crying to the sky but nobody come down Cry, cry, crying to the sky but nobody come down Cry, cry, crying to the sky but nobody come down Crying to the sky, crying crying to sky, come down Crying to the sky but nobody come down"
4,"I don't wanna lie And you can't tell the truth so It's over I don't love you anymore I needed you to pull me through But you don't care, you bring it right back to you The lonely nights inside my room You're at the bar, drinking 'til your liver's bruised Look at yourself in the mirror Distorted, but I see it clearer Life of the party when you're Crying while you're dancing Spinning in the backseat I guess you got what you want I guess it's not enough Crying while you're dancing You woke up in a stranger's bed And realized you're hanging by the thinnest thread Now you're coming down and falling fast Where you end up, you'll break like you're made of glass Look at yourself in the mirror Distorted, but I see that you're Crying while you're dancing Spinning in the backseat I guess you got what you want I guess it's not enough Crying while you're dancing Look at yourself in the mirror Distorted, but I see that you're Crying while you're dancing Spinning in the backseat Guess you got what you want I guess it's not enough Crying while you're dancing"
5,"I don't wanna talk to you I don't wanna talk to anyone I just wanna be alone I just wanna be scum I just wanna be in my room I just wanna be in my bed I just wanna be numb I just wanna be dead

And I know that you hate it And I know that you're jaded And I know that you're fading And I know that you're waiting For me to come out of my shell For me to come out of my hell For me to come out of my cell But I'm not doing too well

I just wanna be quiet I just wanna be quiet I don't wanna speak I don't wanna think I just wanna be quiet I just wanna be quiet I don't wanna speak I don't wanna think

I don't wanna wake up I don't wanna bake up I don't wanna break up I don't wanna make up I don't wanna fake love I don't wanna take drugs I don't wanna say much I don't wanna stay in touch

And I know that you hate it And I know that you're jaded And I know that you're fading And I know that you're waiting For me to come out of my shell For me to come out of my hell For me to come out of my cell But I'm not doing too well

I just wanna be quiet I just wanna be quiet I don't wanna speak I don't wanna think I just wanna be quiet I just wanna be quiet I don't wanna speak I don't wanna think

Shh... Shh...

I just wanna be quiet I just wanna be quiet I just wanna be quiet I just wanna be quiet"
6,"We were doomed right from the start, I'm sorry And you knew the truth It made me believe in nothing And died inside my heart The dream of a broken memory Deep down inside I wish you were still in love with me

Do you think of me? 'Cause I think of you I never wanted you to let me go Although this love is suicide I think it's better this way 'Cause we hated ourselves 'Cause we loved someone else (Never liked the flowers anyway)

WHY! You stabbed me in the heart without a single sympathy! Now you're dead to me! WHAT WAS NEVER MEANT FOR YOU! WHAT WAS NEVER MEANT FOR YOU! WHAT WAS NEVER MEANT FOR YOU! WHAT WAS NEVER MEANT FOR YOU! 'Cause I'm the one that you played! You gave me a thousand heartbreaks!

Oh, we did it to ourselves We got what we deserved It felt much worse than hell All the words you said they hurt But somewhere deep inside you I think that you could change But even if you did It all ends up the same IT ALL ENDS UP THE SAME!

Do you think of me? 'Cause I think of you I never wanted you to let me go Although this love is suicide I think it's better this way 'Cause we hated ourselves 'Cause we loved someone else

I trusted you! And you made me sick! I was blinded! By innocence! Ignored the signs But now I see the truth That everything I gave WAS NOT MEANT FOR YOU!

WAS NOT MEANT FOR YOU! WAS NOT MEANT FOR YOU! WAS NOT MEANT FOR YOU! It never was! It never will! You'll never be! IT WAS NOT MEANT FOR YOU!"
7,"Mama always told me that I was too naive Gave away my trust for pennies I said don't you worry Didn't think that I'll be Broken down and crying help me Wrecked? Check Heart? In debt All you do is come around Just came here to collect Wrecked? Check Heart? In debt Don't you know that I cried tears of gold for you? I sit here poor for you Collect my pennies and my dimes That's why you love it when I cry Platinum love for you I'd give no less for you Generosity is my enemy So I'm broke and your heart's rich Because of me Know that this is my fault Gave a little too much Knew that this was gonna happen But I'm not gonna lie You can make me cry thousand times I come on in back like What is going on with my head? Wrecked? Check Heart? In debt All you do is come around Just came here to collect Wrecked? Check Heart? In debt Don't you know that I cried tears of gold for you? I sit here poor for you Collect my pennies and my dimes That's why you love it when I cry Platinum love for you I'd give no less for you Generosity is my enemy So I'm broke and your heart's rich Because of me And the worst part is I'd do it all over again No, the worst part is, I know it's never gonna end I keep coming right back like a maniac I keep coming right back like And the worst part is I'd do it all over again No, the worst part is, I know it's never gonna end I keep coming right back like a maniac I cried tears of gold for you I sit here poor for you Collect my pennies and my dimes That's why you love it when I cry Platinum love for you I'd give no less for you Generosity is my enemy So I'm broke and your heart's rich Because of me"
8,"Someone call the doctor, someone call the nurse I'm about to lose it, I'm about to burst I'm seeing colors, I'm seeing stars I think I might've taken it a little too far

My heart is racing, I can't catch my breath I think I might be scaring myself to death I need a distraction, I need a release I need a little bit of inner peace

Oh, oh, oh Here we go, here we go Oh, oh, oh I'm about to blow

Fire alarm, fire alarm Ring the bell, sound the horn Fire alarm, fire alarm Save me from the storm 'Cause I'm burning up, I'm burning up I'm burning up, yeah Fire alarm, fire alarm

I'm walking on a wire, I'm playing with fire I'm dancing on the edge of my desire I'm pushing the limits, I'm breaking the rules I'm acting like a fool, yeah, I'm acting like a fool

Oh, oh, oh Here we go, here we go Oh, oh, oh I'm about to blow

Fire alarm, fire alarm Ring the bell, sound the horn Fire alarm, fire alarm Save me from the storm 'Cause I'm burning up, I'm burning up I'm burning up, yeah Fire alarm, fire alarm

(Fire, fire, fire, fire) (Fire, fire, fire, fire)

It's getting hot in here, it's getting loud I think I'm gonna lose myself in the crowd The smoke is rising, the flames are high I think I'm gonna touch the sky

Fire alarm, fire alarm Ring the bell, sound the horn Fire alarm, fire alarm Save me from the storm 'Cause I'm burning up, I'm burning up I'm burning up, yeah Fire alarm, fire alarm"
9,"I'm a disaster A master of my own catastrophe I'm a walking tragedy I'm a danger A stranger to who I used to be Look what I've become

I'm a loaded gun I'm the setting sun I'm the only one who can undo what I have done

God save me from myself 'Cause I can't rely on anybody else I'm going down, I'm going down I'm digging my own grave And I don't know if I can be saved I'm going down, I'm going down

I'm a monster Imposter in my own skin I'm the chaos from within I'm a liar A fire burning everything Look what I've become

I'm a loaded gun I'm the setting sun I'm the only one who can undo what I have done

God save me from myself 'Cause I can't rely on anybody else I'm going down, I'm going down I'm digging my own grave And I don't know if I can be saved I'm going down, I'm going down

God save me (save me, save me) God save me (save me, save me) God save me from myself God save me (save me, save me) God save me (save me, save me)

God save me from myself 'Cause I can't rely on anybody else I'm going down, I'm going down I'm digging my own grave And I don't know if I can be saved I'm going down, I'm going down"
10,"(Intro) He didn't walk me down no stairs Didn't warn me 'bout them boys who wouldn't care Didn't tell me what a real man sounds like So I fell for the ones that lied just right He never pulled my chair or checked my friends Never showed me what to lose or what to defend So I chased love with an open wound Looking for something I was never introduced to Mama did her best but she can't teach What it feels like when a father speaks So I took every ""I love you"" too deep Even when they only meant it for a week

How was I supposed to know what love looked like? When Daddy never showed me what felt right How was I supposed to set the bar? When I ain't never seen no man fight for my heart Now I'm learning through heartbreak piece by piece Trying to be soft in a world that's been hard on me I ain't bitter, just broken in places you can't see How was I supposed to know? If he ain't teach me

I thought pain was part of being chosen If he stayed then the hurt was worth holding I called settling a sign of love 'Cause I ain't know a man should lift me up I know you're beautiful just 'cause I'm his I know I got you when life don't make sense So I let bare minimum feel like gold 'Cause I ain't know I deserved more to hold Mama raised a queen with a wounded crown Taught me strength but I still let love drag me down 'Cause Daddy never gave me that love one on one So I mistook lust for the real one

How was I supposed to know what love looked like? When Daddy never showed me what felt right How was I supposed to set the bar? When I ain't never seen no man fight for my heart Now I'm learning through heartbreak piece by piece Trying to be soft in a world that's been hard on me I ain't bitter, just broken in places you can't see How was I supposed to know? If he ain't teach me

I needed arms that protected Not ones that neglected Needed truth without games Real love with no pain So now I relearn what I missed Unpacking daddy wounds from every kiss But I promise one day I'll be free Of the love that never covered me How was I supposed to know what love looked like? When my first man left before I learned to fight Now I raise my standards like prayers to the sky For the girl I was who needed to know why I still stumble But now I see The kind of love that was meant for me And I'll teach my daughter what he couldn't show So she'll know"
